d,Average N of Cl (positive z),Average N of Cl (negative z),Average N of Na (positive z),Average N of Na (negative z)
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.625,0.049,0.04633333333333333,0.09366666666666666,0.102
2.75,4.976333333333334,5.07,5.870333333333333,5.983666666666666
2.875,34.864333333333335,35.047666666666665,33.291666666666664,33.339
3.0,41.78066666666667,41.787333333333336,39.56033333333333,39.717333333333336
3.125,14.320666666666666,14.114333333333333,16.088333333333335,15.836666666666666
3.25,1.8943333333333334,1.8216666666666668,2.836333333333333,2.7603333333333335
3.375,0.11066666666666666,0.11,0.246,0.24766666666666667
3.5,0.004,0.0026666666666666666,0.013333333333333334,0.013333333333333334
3.625,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0
5.375,0.006333333333333333,0.008,0.013666666666666667,0.016
5.5,0.36466666666666664,0.3993333333333333,0.769,0.7813333333333333
5.625,4.926,5.003333333333333,7.437333333333333,7.634
5.75,20.625333333333334,20.771333333333335,24.000666666666667,24.097333333333335
5.875,33.012,33.21666666666667,31.718,31.871333333333332
6.0,25.060333333333332,24.740333333333332,21.183333333333334,21.033333333333335
6.125,10.379333333333333,10.289333333333333,8.847666666666667,8.678333333333333
6.25,2.8796666666666666,2.8673333333333333,2.8543333333333334,2.798
6.375,0.6173333333333333,0.5703333333333334,0.85,0.7896666666666666
6.5,0.11266666666666666,0.11166666666666666,0.244,0.22366666666666668
6.625,0.014666666666666666,0.018,0.06,0.06133333333333333
6.75,0.0016666666666666668,0.0033333333333333335,0.018,0.013
6.875,0.0,0.001,0.004,0.0026666666666666666
7.0,0.0,0.0,0.0,0.0
7.125,0.0,0.0,0.0,0.0
7.25,0.0,0.0,0.0,0.0
7.375,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0
7.625,0.0,0.0,0.0,0.0
7.75,0.0,0.0,0.0,0.0
7.875,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0
8.125,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0
8.375,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0
8.625,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0
8.875,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0
9.125,0.0,0.0,0.0,0.0
9.25,0.0,0.0,0.0,0.0
9.375,0.0,0.0,0.0,0.0
9.5,0.0,0.0,0.0,0.0
9.625,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0
9.875,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0
10.125,0.0,0.0,0.0,0.0
10.25,0.0,0.0,0.0,0.0
10.375,0.0,0.0,0.0,0.0
10.5,0.0,0.0,0.0,0.0
10.625,0.0,0.0,0.0,0.0
10.75,0.0,0.0,0.0,0.0
10.875,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0
11.125,0.0,0.0,0.0,0.0
11.25,0.0,0.0,0.0,0.0
11.375,0.0,0.0,0.0,0.0
11.5,0.0,0.0,0.0,0.0
11.625,0.0,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0
11.875,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0
12.125,0.0,0.0,0.0,0.0
12.25,0.0,0.0,0.0,0.0
12.375,0.0,0.0,0.0,0.0
12.5,0.0,0.0,0.0,0.0
12.625,0.0,0.0,0.0,0.0
12.75,0.0,0.0,0.0,0.0
12.875,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
13.125,0.0,0.0,0.0,0.0
13.25,0.0,0.0,0.0,0.0
13.375,0.0,0.0,0.0,0.0
13.5,0.0,0.0,0.0,0.0
13.625,0.0,0.0,0.0,0.0
13.75,0.0,0.0,0.0,0.0
13.875,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0
